1:Aaliyah
1028:Peyton List
1029:Zoe Lister-Jones
1030:Lucy Liu
1031:Lori Lively
1032:AzMarie Livingston
1033:Kari Lizer
1034:Carmen Llywelyn
1035:Amy Locane
1036:Sondra Locke
1037:Tammy Locke
1038:June Lockhart
1039:Samantha Logan
1040:Lindsay Lohan
1041:Kristanna Loken
1042:Michelle Lombardo
1043:Lauren London
1044:Loretta Long
1045:Shelley Long
1046:Jennifer Lopez
1047:Traci Lords
1048:Josie Loren
1049:Caity Lotz
1050:Taylor Louderman
1051:Lori Loughlin
1052:Tina Louise
1053:Demi Lovato
1054:Courtney Love
1055:Phyllis Love
1056:Carey Lowell
1057:Katie Lowes
1058:Florencia Lozano
1059:Susan Lucci
1060:Tessa Ludwick
1061:Chloe Lukasiak
1062:Ali Luminescent
1063:Brigette Lundy-Paine
1064:Jamie Luner
1065:Patti LuPone
1066:Desi Lydic
1067:Jane Lynch
1068:Kelly Lynch
1069:Carol Lynley
1070:Meredith Scott Lynn
1071:Jenn Lyon
1072:Brooke Lyons
1073:Devin Lytle
1074:Bonnie MacBird
1075:Caroline Macey
1076:Ali MacGraw
1077:Justina Machado
1078:Christy Mack
1079:Simmone Jade Mackinnon
1080:Tress MacNeille
1081:Amy Madigan
1082:Madonna
1083:Stella Maeve
1084:Valerie Mahaffey
1085:Kayla Maisonet
1086:Ally Maki
1087:Rosie Malek-Yonan
1088:Mallorie Rodak
1089:Beth Malone
1090:Nancy Malone
1091:Clara Mamet
1092:Camille Mana
1093:Camryn Manheim
1094:Leslie Mann
1095:Taryn Manning
1096:Carrie Manolakos
1097:Gia Mantegna
1098:Marla Maples
1099:Mary Mara
1100:Josie Maran
1101:Vanessa Marano
1102:Teal Marchande
1103:Vanessa Marcil
1104:Maria Tucci
1105:Meghan Markle
1106:Hannah Marks
1107:Ellen Marlow
1108:Juliette Marquis
1109:Paula Marshall
1110:Vanessa Marshall
1111:Sonequa Martin-Green
1112:Andrea Martin
1113:Madeleine Martin
1114:Nikki Martin
1115:Margo Martindale
1116:Yara Martinez
1117:Elizabeth Marvel
1118:Jeanine Mason
1119:Marsha Mason
1120:Lisa Lynn Masters
1121:Mary Elizabeth Mastrantonio
1122:Samantha Mathis
1123:DeLane Matthews
1124:Helena Mattsson
1125:MacKenzie Mauzy
1126:Lauren Courtney Mayhew
1127:Melanie Mayron
1128:Tristin Mays
1129:Jacqueline Mazarella
1130:Monet Mazur
1131:Allison McAtee
1132:Frances Lee McCain
1133:Jenny McCarthy
1134:Peggy McCay
1135:China Anne McClain
1136:Kathleen McClellan
1137:Quinn McColgan
1138:Heather McComb
1139:Mary McCormack
1140:Carolyn McCormick
1141:Sierra McCormick
1142:Kelly McCreary
1143:Jennette McCurdy
1144:Audra McDonald
1145:Margaret McDonald
1146:Mary Elizabeth McDonough
1147:Reba McEntire
1148:Gates McFadden
1149:Vonetta McGee
1150:Christy McGinity Gibel
1151:Elizabeth McGovern
1152:Melinda McGraw
1153:Kinna McInroe
1154:Donna McKechnie
1155:Danica McKellar
1156:Alex McKenna
1157:Nancy McKeon
1158:Elizabeth McLaughlin
1159:Zoe McLellan
1160:Wendi McLendon-Covey
1161:Molly McMichael
1162:Jane McNeill
1163:Katharine McPhee
1164:Caroline McWilliams
1165:Emily Meade
1166:Anne Meara
1167:Barbara Meek
1168:Leighton Meester
1169:Natasha Melnick
1170:Camila Mendes
1171:Erica Mendez
1172:Alex Meneses
1173:Idina Menzel
1174:S. Epatha Merkerson
1175:Dina Merrill
1176:Debra Messing
1177:Chrissy Metz
1178:Justine Miceli
1179:Mimi Michaels
1180:AJ Michalka
1181:Lea Michele
1182:Diane Michelle
1183:Julianne Michelle
1184:Charis Michelsen
1185:Bette Midler
1186:Liz Mikel
1187:Elaine Miles
1188:Sylvia Miles
1189:Penelope Milford
1190:Cristin Milioti
1191:Amara Miller
1192:Smosh
1193:Jen Miller
1194:Lauren Miller
1195:McKaley Miller
1196:Penelope Ann Miller
1197:Mollie Milligan
1198:Donna Mills
1199:Kate Miner
1200:Liza Minnelli
1201:Faith Minton
1202:Paula Miranda
1203:Simone Missick
1204:Elizabeth Mitchell
1205:Sibongile Mlambo
1206:Katherine Moennig
1207:Melissa Molinaro
1208:Janel Moloney
1209:Taylor Momsen
1210:Janelle Mon\xe1e
1211:Michelle Monaghan
1212:Isabela Moner
1213:Monica
1214:Wendy Moniz
1215:Yvette Monreal
1216:Ashley Smith
1217:Maribeth Monroe
1218:Amber Montana
1219:Belinda J. Montgomery
1220:Rebeka Montoya
1221:Adrienne C. Moore
1222:Christina Moore
1223:Julianne Moore
1224:Mary Tyler Moore
1225:Natalie Morales
1226:Crissy Moran
1227:Kelly Moran
1228:Lea Moreno Young
1229:Chlo\xeb Grace Moretz
1230:Brit Morgan
1231:Lindsey Morgan
1232:Erin Moriarty
1233:Ashley Austin Morris
1234:Haviland Morris
1235:Iona Morris
1236:Sarah Jane Morris
1237:Shelley Morrison
1238:Emily Mortimer
1239:Senta Moses Mikan
1240:Elisabeth Moss
1241:Tamera Mowry
1242:Tawny Moyer
1243:Jennifer Mudge
1244:Kate Mulgrew
1245:Patty Mullen
1246:Eloise Mumford
1247:Liliana Mumy
1248:Olivia Munn
1249:Brittany Murphy
